it,temp,actualQ,bestQ,pAvg,intensification
1000,65.7146,22.1599,0,8.27068,1
2000,58.4146,135.447,0,5.01792,1
3000,51.1146,199.113,0,6.07143,1
4000,43.8146,169.54,0,5.01792,1
5000,36.5146,215.851,0,4.85075,1
6000,29.2146,285.414,0,2.63158,0
7000,21.9146,275.042,0,2.93333,0
8000,14.6146,240.541,0,3.11419,0
9000,7.3146,240.541,0,1.21212,0
10000,0.0146027,240.541,0,0.364964,0
11000,65.7146,240.541,0,5.17241,1
12000,58.4146,249.661,0,7.66962,1
13000,51.1146,163.772,0,8.36364,0
14000,43.8146,127.763,0,6.03175,0
15000,36.5146,245.732,0,3.30578,0
16000,29.2146,202.612,0,4.28135,1
17000,21.9146,240.541,0,2.83688,0
18000,14.6146,242.01,0,1.74564,1
19000,7.3146,307.414,0,0.767263,0
20000,0.0146027,286.502,0,0.490196,1
21000,65.7146,209.502,0,5.21739,0
22000,58.4146,187.92,0,2.95567,1
23000,51.1146,128.644,0,4.56989,1
24000,43.8146,256.38,0,3.4398,0
25000,36.5146,244.921,0,5.23416,1
26000,29.2146,180.63,0,4.82759,1
27000,21.9146,241.479,0,3.31126,1
28000,14.6146,273.63,0,2.12014,0
29000,7.3146,283.851,0,0.369004,1
30000,0.0146027,310.63,0,0,0
31000,65.7146,169.36,0,8.10811,1
32000,58.4146,240.644,0,4.18251,1
33000,51.1146,67.626,0,7.03704,1
34000,43.8146,-21.4619,0,4.54545,1
35000,36.5146,239.447,0,5.28302,1
36000,29.2146,27.8901,0,5.26316,1
37000,21.9146,218.121,0,4.4586,1
38000,14.6146,218.121,0,5.7971,1
39000,7.3146,216.47,0,2.18182,1
40000,0.0146027,311.63,0,0,1
41000,65.7146,238.382,0,5.34591,1
42000,58.4146,79.8311,0,6.56934,1
43000,51.1146,199.38,0,5.26316,1
44000,43.8146,76.752,0,7.27273,1
45000,36.5146,207.919,0,5.86207,0
46000,29.2146,135.919,0,4.21348,0
47000,21.9146,189.47,0,2.89389,0
48000,14.6146,277.224,0,1.91083,1
49000,7.3146,259.661,0,2.23642,1
50000,0.0146027,277.224,0,0.298507,0
51000,65.7146,259.661,0,6.48855,1
52000,58.4146,130.36,0,8.94569,1
53000,51.1146,2.64404,0,7.73994,0
54000,43.8146,172.272,0,4.98688,0
55000,36.5146,221.732,0,2.89389,0
56000,29.2146,125.152,0,6.59722,1
57000,21.9146,165.54,0,2.45614,1
58000,14.6146,263.851,0,3.28947,1
59000,7.3146,247.042,0,1.75879,0
60000,0.0146027,247.042,0,0,0
61000,65.7146,236.184,0,5.43131,1
62000,58.4146,242.732,0,5.80645,0
63000,51.1146,72.1599,0,6.33803,0
64000,43.8146,133.47,0,6.11511,0
65000,36.5146,194.18,0,4.98534,0
66000,29.2146,204.541,0,1.88679,1
67000,21.9146,243.18,0,1.75439,1
68000,14.6146,243.18,0,0.352113,1
69000,7.3146,243.18,0,0.343643,0
70000,0.0146027,243.18,0,0,0
71000,65.7146,97.459,0,7.48299,1
72000,58.4146,211.922,0,6.6879,1
73000,51.1146,228.18,0,1.34228,0
74000,43.8146,152.622,0,5.41311,0
75000,36.5146,353.303,0,5.70571,0
76000,29.2146,398.991,0,1.8315,1
77000,21.9146,380.431,0,3.85965,1
78000,14.6146,398.991,0,2.62172,1
79000,7.3146,398.991,0,1.77936,1
80000,0.0146027,398.991,0,0,1
81000,65.7146,392.991,0,4.83871,1
82000,58.4146,222.875,0,7.54098,1
83000,51.1146,370.303,0,5.62249,1
84000,43.8146,374.431,0,1.67224,0
85000,36.5146,270.631,0,5.51181,0
86000,29.2146,392.991,0,3.43643,0
87000,21.9146,368.431,0,3.40909,0
88000,14.6146,393.464,0,1.82482,0
89000,7.3146,398.991,0,1.13208,0
90000,0.0146027,398.991,0,0.387597,0
91000,65.7146,260.037,0,8.78378,1
92000,58.4146,392.991,0,3.48432,1
93000,51.1146,409.991,0,5.12821,1
94000,43.8146,420.991,0,4.92958,1
95000,36.5146,353.303,0,5.07812,1
96000,29.2146,357.431,0,3.63636,0
97000,21.9146,398.991,0,1.99203,0
98000,14.6146,420.991,0,2.24719,0
99000,7.3146,420.991,0,2.73438,0
100000,0.0146027,420.991,0,0.35461,0
