it,temp,actualQ,bestQ,p
10000,79.8474,2923.99,3257.57,0.53
20000,79.6948,3116.02,3522.36,0.42
30000,79.5423,3053.22,3565.08,1.54
40000,79.3897,3072.64,3656.87,0.8
50000,79.2371,3309.18,3656.87,1.61
60000,79.0845,2879.98,3656.87,0.5
70000,78.9319,2733.87,3656.87,1.27
80000,78.7793,3386.63,3790.73,4.7
90000,78.6267,2954.42,3790.73,1.1
100000,78.4741,2852.31,3790.73,0.96
110000,78.3215,3123.36,3790.73,1.15
120000,78.169,3004.4,3790.73,0.98
130000,78.0164,3123.76,3790.73,0.77
140000,77.8638,3239.66,3790.73,1.02
150000,77.7112,3123.52,3790.73,1.03
160000,77.5586,3237.34,3921.55,1.37
170000,77.406,2909.74,3921.55,0.76
180000,77.2534,3561.56,3921.55,1.12
190000,77.1008,3149.29,3921.55,0.77
200000,76.9483,3146.69,3921.55,1.02
210000,76.7957,2930.17,3921.55,0.77
220000,76.6431,3579.27,3921.55,0.25
230000,76.4905,3236.67,3945.65,0.61
240000,76.3379,3463.69,3945.65,0.71
250000,76.1853,4177.64,4241.41,0.01
260000,76.0327,4243.53,4299.49,0.01
270000,75.8801,4265.86,4299.49,0.01
280000,75.7276,4267.04,4299.49,0.01
290000,75.575,4223.13,4303.56,0.01
300000,75.4224,4246.97,4303.91,0.01
310000,75.2698,4194.19,4303.91,0.01
320000,75.1172,4208.54,4303.91,0.01
330000,74.9646,4178.2,4303.91,0.01
340000,74.812,4268.29,4303.91,1
350000,74.6594,4201.55,4303.91,0.11
360000,74.5069,4200.78,4303.91,0.12
370000,74.3543,4168.06,4303.91,0.01
380000,74.2017,4206.93,4303.91,0.23
390000,74.0491,4206.49,4303.91,0.01
400000,73.8965,4176.7,4303.91,0.01
410000,73.7439,4244.34,4303.91,0.24
420000,73.5913,4227.55,4303.91,0.01
430000,73.4387,4200.84,4303.91,0.01
440000,73.2861,4246.07,4303.91,0.01
450000,73.1336,4180.69,4303.91,0.01
460000,72.981,4214.48,4303.91,0.01
470000,72.8284,4210.39,4303.91,0.02
480000,72.6758,4248.92,4303.91,0.01
490000,72.5232,4301.17,4322.22,0.17
500000,72.3706,4278.93,4330.76,0.01
510000,72.218,4304.33,4337.45,0.01
520000,72.0654,4218.62,4337.45,0.29
530000,71.9129,4264.47,4337.45,0.33
540000,71.7603,4280.24,4337.45,0.17
550000,71.6077,4276.14,4337.45,0.01
560000,71.4551,4292.14,4337.45,0.01
570000,71.3025,4240.14,4337.45,0.17
580000,71.1499,4269.3,4337.45,0.02
590000,70.9973,4280.2,4339.3,0.01
600000,70.8447,4152.86,4339.3,0.01
610000,70.6922,4263.05,4339.3,0.01
620000,70.5396,4272.86,4339.3,0.02
630000,70.387,4291.24,4339.3,0.01
640000,70.2344,4304.55,4339.3,0.01
650000,70.0818,4289.3,4339.3,0.01
660000,69.9292,4287.3,4340.08,0.01
670000,69.7766,4299.88,4340.08,0.01
680000,69.624,4253.82,4340.08,0.11
690000,69.4715,4296.49,4340.08,0.01
700000,69.3189,4275.12,4340.08,0.18
710000,69.1663,4272.8,4340.08,0.09
720000,69.0137,4264.88,4340.08,0.01
730000,68.8611,4246.63,4340.08,0.01
740000,68.7085,4310.51,4340.14,1
750000,68.5559,4273.94,4340.14,0.01
760000,68.4033,4295.96,4340.14,1
770000,68.2507,4235.22,4340.14,0.01
780000,68.0982,4258.16,4340.14,0.01
790000,67.9456,4227.63,4340.14,1
800000,67.793,4259.67,4340.14,0.87
810000,67.6404,4285.04,4340.14,0.11
820000,67.4878,4226.04,4340.14,0.1
830000,67.3352,4212.64,4340.14,1
840000,67.1826,4258.29,4340.14,0.18
850000,67.03,4186.71,4340.14,0.01
860000,66.8775,4232.83,4340.14,0.06
870000,66.7249,4214.02,4340.14,0.15
880000,66.5723,4196.8,4340.14,6.07
890000,66.4197,4264.59,4340.14,0.01
900000,66.2671,4283.38,4340.14,0.01
910000,66.1145,4214.22,4340.14,0.01
920000,65.9619,4244.87,4340.14,0.14
930000,65.8093,4287.65,4340.14,1
940000,65.6568,4304.54,4340.14,1
950000,65.5042,4293.23,4340.14,0.01
960000,65.3516,4277.87,4340.14,0.07
970000,65.199,4283.54,4340.14,0.03
980000,65.0464,4301.71,4340.14,0.01
990000,64.8938,4289.71,4340.14,0.01
1000000,64.7412,4307.6,4340.14,1
1010000,64.5886,4310.07,4340.14,0.16
1020000,64.4361,4279.5,4340.14,7.52
1030000,64.2835,4258.23,4340.14,0.01
1040000,64.1309,4295.47,4340.14,0.14
1050000,63.9783,4253.66,4340.14,0.01
1060000,63.8257,4235.19,4340.14,0.01
1070000,63.6731,4313.96,4340.14,0.01
1080000,63.5205,4286.49,4340.14,0.01
1090000,63.3679,4271.96,4340.14,0.01
1100000,63.2153,4260.69,4340.14,0.01
1110000,63.0628,4266.8,4340.14,0.33
1120000,62.9102,4259.57,4340.14,0.01
1130000,62.7576,4273.08,4340.14,0.01
1140000,62.605,4298.86,4340.14,0.07
1150000,62.4524,4277.06,4340.14,0.01
1160000,62.2998,4295.25,4340.14,0.07
1170000,62.1472,4319.51,4340.14,1
1180000,61.9946,4287.78,4340.14,0.05
1190000,61.8421,4306.04,4340.14,0.01
1200000,61.6895,4328.3,4340.14,1
1210000,61.5369,4290.14,4340.14,0.08
1220000,61.3843,4290.61,4340.14,0.73
1230000,61.2317,4275.77,4340.14,0.01
1240000,61.0791,4299.11,4340.14,0.85
1250000,60.9265,4300.49,4340.14,0.27
1260000,60.7739,4305.99,4340.14,0.01
1270000,60.6214,4279.24,4340.14,0.01
1280000,60.4688,4266.77,4340.14,0.01
1290000,60.3162,4266.06,4340.14,1.19
1300000,60.1636,4267.47,4340.14,1.4
1310000,60.011,4262.66,4340.14,0.01
1320000,59.8584,4265.28,4340.14,0.19
1330000,59.7058,4221.49,4340.14,0.12
1340000,59.5532,3992.34,4340.14,1.02
1350000,59.4007,3597.53,4340.14,0.13
1360000,59.2481,3301.92,4340.14,0.53
1370000,59.0955,3136.11,4340.14,0.67
1380000,58.9429,3474.97,4340.14,0.31
1390000,58.7903,3560.3,4340.14,0.86
1400000,58.6377,3120.86,4340.14,0.52
1410000,58.4851,3359.53,4340.14,0.02
1420000,58.3325,3602.89,4340.14,1.16
1430000,58.1799,3405.04,4340.14,1.29
1440000,58.0274,3239.44,4340.14,2.16
1450000,57.8748,3133.57,4340.14,1.43
1460000,57.7222,2864.26,4340.14,0.47
1470000,57.5696,3272.59,4340.14,0.07
1480000,57.417,3251.52,4340.14,0.62
1490000,57.2644,3244.88,4340.14,0.07
1500000,57.1118,3455.71,4340.14,1.07
1510000,56.9592,3734.02,4340.14,1.32
1520000,56.8067,3365.12,4340.14,0.93
1530000,56.6541,3215.45,4340.14,1.45
1540000,56.5015,3041.92,4340.14,1.32
1550000,56.3489,3477.7,4340.14,0.54
1560000,56.1963,3429.54,4340.14,0.31
1570000,56.0437,3361.81,4340.14,2.54
1580000,55.9183,2986.63,4340.14,2.62
1590000,55.8039,3655.22,4340.14,0.8
1600000,55.6895,4129.69,4340.14,0.04
1610000,55.575,4095.15,4340.14,1
1620000,55.4606,4108.23,4340.14,0.01
1630000,55.3461,4041.99,4340.14,0.01
1640000,55.2317,4091.91,4340.14,0.01
1650000,55.1173,4086.64,4340.14,0.01
1660000,55.0028,4086.84,4340.14,1
1670000,54.8884,4114.13,4340.14,0.01
1680000,54.7739,4099.91,4340.14,0.01
1690000,54.6595,4108.06,4340.14,0.01
1700000,54.5451,4119.69,4340.14,0.01
1710000,54.4306,4110.69,4340.14,0.01
1720000,54.3162,4119.98,4340.14,0.01
1730000,54.2017,4111.98,4340.14,0.01
1740000,54.0873,4110.91,4340.14,0.01
1750000,53.9728,4107.45,4340.14,0.01
1760000,53.8584,4105.01,4340.14,0.01
1770000,53.744,4099.94,4340.14,0.01
1780000,53.6295,4086.93,4340.14,0.01
1790000,53.5151,4116.98,4340.14,0.01
1800000,53.4006,4126.2,4340.14,0.01
1810000,53.2862,4121.05,4340.14,0.23
1820000,53.1718,4104.67,4340.14,0.01
1830000,53.0573,4084.01,4340.14,0.01
1840000,52.9429,4098.98,4340.14,0.05
1850000,52.8284,4150.65,4340.14,1
1860000,52.714,4134.36,4340.14,0.01
1870000,52.5996,4134.65,4340.14,0.01
1880000,52.4851,4138.6,4340.14,0.01
1890000,52.3707,4129.65,4340.14,0.83
1900000,52.2562,4118.65,4340.14,1
1910000,52.1418,4137.65,4340.14,0.01
1920000,52.0274,4116.65,4340.14,0.01
1930000,51.9129,4132.65,4340.14,0.01
1940000,51.7985,4134.65,4340.14,1
1950000,51.684,4096.36,4340.14,1.48
1960000,51.5696,4106.52,4340.14,0.01
1970000,51.4551,4138.65,4340.14,0.01
1980000,51.3407,4127.36,4340.14,0.01
1990000,51.2263,4093.25,4340.14,0.01
2000000,51.1118,4125.36,4340.14,0.08
2010000,50.9974,4129.36,4340.14,0.01
2020000,50.8829,4115.36,4340.14,0.01
2030000,50.7685,4107.05,4340.14,0.01
2040000,50.6541,4114.68,4340.14,0.01
2050000,50.5396,4089.52,4340.14,0.01
2060000,50.4252,4140.68,4340.14,0.01
2070000,50.3107,4122.63,4340.14,0.02
2080000,50.1963,4142.68,4340.14,0.01
2090000,50.0819,4117.65,4340.14,0.01
2100000,49.9674,4122.68,4340.14,0.01
2110000,49.853,4131.63,4340.14,0.01
2120000,49.7385,4103.81,4340.14,0.01
2130000,49.6241,4115.08,4340.14,1
2140000,49.5097,4099.05,4340.14,0.01
2150000,49.3952,4110.58,4340.14,0.67
2160000,49.2808,4103.34,4340.14,1
2170000,49.1663,4144.65,4340.14,0.03
2180000,49.0519,4146.36,4340.14,0.82
2190000,48.9374,4114.36,4340.14,0.01
2200000,48.823,4155.65,4340.14,0.01
2210000,48.7086,4138.36,4340.14,0.01
2220000,48.5941,4144.65,4340.14,1
2230000,48.4797,4097.05,4340.14,1
2240000,48.3652,4101.85,4340.14,0.01
2250000,48.2508,4141.36,4340.14,0.01
2260000,48.1364,4113.63,4340.14,0.01
2270000,48.0219,4125.65,4340.14,0.01
2280000,47.9075,4134.51,4340.14,0.01
2290000,47.793,4132.65,4340.14,0.01
2300000,47.6786,4107.29,4340.14,0.01
2310000,47.5642,4125.39,4340.14,3.54
2320000,47.4497,4106.63,4340.14,0.01
2330000,47.3353,4145.65,4340.14,1
2340000,47.2208,4137.32,4340.14,0.01
2350000,47.1064,4155.65,4340.14,0.01
2360000,46.992,4141.65,4340.14,1
2370000,46.8775,4120.36,4340.14,0.05
2380000,46.7631,4141.65,4340.14,0.23
2390000,46.6486,4129.65,4340.14,0.01
2400000,46.5342,4142.65,4340.14,0.01
2410000,46.4197,4118.85,4340.14,0.01
2420000,46.3053,4143.36,4340.14,0.01
2430000,46.1909,4154.65,4340.14,0.01
2440000,46.0764,4159.65,4340.14,0.01
2450000,45.962,4156.65,4340.14,0.01
2460000,45.8475,4127.34,4340.14,0.01
2470000,45.7331,4109.36,4340.14,1
2480000,45.6187,4149.65,4340.14,0.01
2490000,45.5042,4161.65,4340.14,0.01
2500000,45.3898,4100.85,4340.14,0.01
2510000,45.2753,4166.65,4340.14,1.25
2520000,45.1609,4158.65,4340.14,0.18
2530000,45.0465,4122.36,4340.14,0.01
2540000,44.932,4154.65,4340.14,0.01
2550000,44.8176,4127.36,4340.14,0.01
2560000,44.7031,4156.65,4340.14,0.21
2570000,44.5887,4150.36,4340.14,0.01
2580000,44.4743,4122.8,4340.14,0.01
2590000,44.3598,4148.65,4340.14,0.01
2600000,44.2454,4158.65,4340.14,0.01
2610000,44.1309,4131.05,4340.14,0.01
2620000,44.0165,4113.68,4340.14,9.7
2630000,43.902,4150.68,4340.14,0.01
2640000,43.7876,4130.39,4340.14,0.01
2650000,43.6732,4098.3,4340.14,0.01
2660000,43.5587,4120.3,4340.14,1
2670000,43.4443,4109.63,4340.14,0.01
2680000,43.3298,4136.68,4340.14,0.01
2690000,43.2154,4158.65,4340.14,1
2700000,43.101,4127.8,4340.14,1
2710000,42.9865,4149.65,4340.14,0.01
2720000,42.8721,4146.65,4340.14,0.04
2730000,42.7576,4146.65,4340.14,0.04
2740000,42.6432,4135.65,4340.14,0.01
2750000,42.5288,4150.65,4340.14,0.01
2760000,42.4143,4153.65,4340.14,0.01
2770000,42.2999,4163.65,4340.14,0.01
2780000,42.1854,4136.36,4340.14,0.01
2790000,42.071,4156.65,4340.14,0.01
2800000,41.9566,4156.65,4340.14,0.01
2810000,41.8421,4151.65,4340.14,0.01
2820000,41.7277,4149.63,4340.14,0.01
2830000,41.6132,4149.65,4340.14,0.01
2840000,41.4988,4141.65,4340.14,0.01
2850000,41.3843,4144.65,4340.14,1.28
2860000,41.2699,4142.65,4340.14,0.79
2870000,41.1555,4148.65,4340.14,0.01
2880000,41.041,4151.65,4340.14,1
2890000,40.9266,4158.65,4340.14,0.01
2900000,40.8121,4144.36,4340.14,0.01
2910000,40.6977,4135.51,4340.14,1
2920000,40.5833,4139.65,4340.14,0.01
2930000,40.4688,4126.65,4340.14,0.04
2940000,40.3544,4155.65,4340.14,0.01
2950000,40.2399,4163.65,4340.14,0.01
2960000,40.1255,4097.72,4340.14,0.14
2970000,40.0111,4126.32,4340.14,0.01
2980000,39.9311,4142.68,4340.14,0.01
2990000,39.8548,4114.8,4340.14,0.01
3000000,39.7785,4129.51,4340.14,1.66
3010000,39.7022,4140.65,4340.14,0.47
3020000,39.6259,4148.65,4340.14,1
3030000,39.5496,4137.85,4340.14,0.01
3040000,39.4733,4147.65,4340.14,0.78
3050000,39.397,4144.65,4340.14,0.01
3060000,39.3207,4131.31,4340.14,0.01
3070000,39.2444,4144.65,4340.14,0.01
3080000,39.1681,4125.36,4340.14,1.3
3090000,39.0918,4125.36,4340.14,0.01
3100000,39.0155,4149.65,4340.14,0.36
3110000,38.9393,4152.65,4340.14,1
3120000,38.863,4143.65,4340.14,0.01
3130000,38.7867,4142.65,4340.14,0.01
3140000,38.7104,4145.63,4340.14,0.01
3150000,38.6341,4137.41,4340.14,0.01
3160000,38.5578,4132.39,4340.14,0.01
3170000,38.4815,4127.63,4340.14,0.01
3180000,38.4052,4121.41,4340.14,0.01
3190000,38.3289,4120.6,4340.14,0.01
3200000,38.2526,4153.65,4340.14,1
3210000,38.1763,4166.65,4340.14,0.01
3220000,38.1,4156.36,4340.14,0
3230000,38.0237,4165.65,4340.14,0.01
3240000,37.9474,4156.65,4340.14,0.01
3250000,37.8711,4154.65,4340.14,0.01
3260000,37.7948,4140.65,4340.14,0.77
3270000,37.7186,4144.36,4340.14,1
3280000,37.6423,4147.65,4340.14,0.01
3290000,37.566,4142.65,4340.14,0.01
3300000,37.4897,4150.65,4340.14,0.77
3310000,37.4134,4155.65,4340.14,0.01
3320000,37.3371,4168.65,4340.14,1.31
3330000,37.2608,4129.36,4340.14,1
3340000,37.1845,4137.36,4340.14,0.01
3350000,37.1082,4144.65,4340.14,0.01
3360000,37.0319,4151.65,4340.14,0.01
3370000,36.9556,4159.65,4340.14,0.01
3380000,36.8793,4141.37,4340.14,0.01
3390000,36.803,4129.65,4340.14,1
3400000,36.7267,4146.65,4340.14,0.01
3410000,36.6504,4165.65,4340.14,0.01
3420000,36.5741,4151.65,4340.14,1
3430000,36.4978,4142.36,4340.14,0.01
3440000,36.4216,4160.65,4340.14,0.01
3450000,36.3453,4152.36,4340.14,0.01
