it,temp,actualQ,bestQ,pAvg,diversification
1000,79.9848,2604.48,2934.55,40.4494,1
2000,79.9695,2561.55,2934.55,38.1657,1
3000,79.9542,2308.96,2934.55,43.1138,1
4000,79.939,2342.83,2934.55,41.1411,1
5000,79.9237,2330.25,2934.55,38.674,1
6000,79.9085,2328.28,2934.55,39.9351,1
7000,79.8932,2210.99,2934.55,37.4603,1
8000,79.8779,2284.99,2934.55,38.0471,1
9000,79.8627,2213.45,2934.55,40.5248,1
10000,79.8474,2289.03,2934.55,39.7906,1
11000,79.8322,2349.11,2934.55,36.2275,1
12000,79.8169,2298.58,2934.55,37.4593,1
13000,79.8017,1878.18,2934.55,41.1972,1
14000,79.7864,1982.98,2934.55,42.1687,1
15000,79.7711,2151.64,2934.55,38.4328,1
16000,79.7559,2309.56,2934.55,38.5042,1
17000,79.7406,2014.52,2934.55,42.228,1
18000,79.7254,2555.71,2934.55,39.3443,1
19000,79.7101,2729.23,2934.55,41.853,1
20000,79.6948,2651.92,2987.29,40,1
21000,79.6796,2570.69,2987.29,38.9646,1
22000,79.6643,2461.34,2987.29,36.6477,1
23000,79.6491,2275.64,2987.29,40,1
24000,79.6338,2308.4,2987.29,39.7333,1
25000,79.6185,2457.11,2987.29,41.6667,1
26000,79.6033,2356.73,2987.29,34.5345,1
27000,79.588,2130.47,2987.29,38.7387,1
28000,79.5728,2349.61,2987.29,34.9162,1
29000,79.5575,2545.51,2987.29,39.0173,1
30000,79.5423,2380.57,2987.29,39.233,1
31000,79.527,2019.71,2987.29,42.1053,1
32000,79.5117,1816.81,2987.29,38.8601,1
33000,79.4965,2439.14,2987.29,39.3333,1
34000,79.4812,2394.81,2987.29,40.8497,1
35000,79.466,2426.22,2987.29,38.8889,1
36000,79.4507,2440.55,2987.29,40.2878,1
37000,79.4354,2252.75,2987.29,38.6555,1
38000,79.4202,2048.62,2987.29,38.9205,1
39000,79.4049,2381.36,2987.29,35.9551,1
40000,79.3897,2578.49,2987.29,40.1709,1
41000,79.3744,2575.5,3026.84,35.1064,1
42000,79.3591,2203.17,3026.84,38.3333,1
43000,79.3439,1954.33,3026.84,39.3316,1
44000,79.3286,2112.44,3026.84,40.273,1
45000,79.3134,2241.37,3026.84,35.2564,1
46000,79.2981,2261.83,3026.84,40.5751,1
47000,79.2829,2346.08,3026.84,40.5063,1
48000,79.2676,2198.9,3026.84,43.8066,1
49000,79.2523,2163.58,3026.84,39.8256,1
50000,79.2371,2058.31,3026.84,39.1813,1
51000,79.2218,1985.54,3026.84,38.5475,1
52000,79.2066,2226.75,3026.84,40.3614,1
53000,79.1913,2294.27,3026.84,39.0476,1
54000,79.176,2384.66,3026.84,37.5,1
55000,79.1608,2364.29,3026.84,38.8268,1
56000,79.1455,2173.99,3026.84,39.5189,1
57000,79.1303,2398.6,3026.84,40.7855,1
58000,79.115,2832.91,3026.84,36.6667,1
59000,79.0997,2322.92,3026.84,37.8738,1
60000,79.0845,2030.86,3026.84,44.2804,1
61000,79.0692,2322.74,3026.84,39.1045,1
62000,79.054,2362.85,3026.84,39.577,1
63000,79.0387,2116.75,3026.84,41.6185,1
64000,79.0235,2134.53,3026.84,40.6716,1
65000,79.0082,2274.57,3026.84,40.9677,1
66000,78.9929,2476.14,3026.84,37.3961,1
67000,78.9777,2054.47,3026.84,38.75,1
68000,78.9624,2284.34,3026.84,41.358,1
69000,78.9472,2710.99,3026.84,36.3868,1
70000,78.9319,2521.78,3026.84,40.5714,1
71000,78.9166,2292.44,3026.84,39.7015,1
72000,78.9014,2366.42,3026.84,38.7978,1
73000,78.8861,1924.75,3026.84,39.071,1
74000,78.8709,2309.74,3026.84,41.1585,1
75000,78.8556,2228.86,3026.84,37.3368,1
76000,78.8403,2237.18,3026.84,37.2493,1
77000,78.8251,2156.51,3026.84,39.2,1
78000,78.8098,2453.7,3026.84,41.411,1
79000,78.7946,2698.27,3026.84,40.6627,1
80000,78.7793,2294.99,3026.84,42.1053,1
81000,78.7641,2577.28,3026.84,39.7101,1
82000,78.7488,2238.28,3026.84,41.994,1
83000,78.7335,1912.94,3026.84,45.34,1
84000,78.7183,2536.42,3026.84,39.0244,1
85000,78.703,2249.52,3026.84,42.6087,1
86000,78.6878,2206.49,3026.84,39.823,1
87000,78.6725,2512.25,3026.84,38.806,1
88000,78.6572,2689.19,3026.84,40.5634,1
89000,78.642,2263.75,3026.84,41.2281,1
90000,78.6267,2572.76,3026.84,40.625,1
91000,78.6115,2598.67,3026.84,40.5836,1
92000,78.5962,2486.37,3026.84,41.4201,1
93000,78.5809,2447.05,3026.84,42.5656,1
94000,78.5657,2082.91,3026.84,41.5144,1
95000,78.5504,1953.24,3026.84,38.5321,1
96000,78.5352,2563.06,3026.84,37.464,1
97000,78.5199,2171.85,3026.84,42.3823,1
98000,78.5047,2473.61,3026.84,41.7476,1
99000,78.4894,2679.58,3026.84,38.9881,1
100000,78.4741,2401.1,3026.84,38.1538,1
101000,78.4589,2342.82,3026.84,37.9404,1
102000,78.4436,2032.57,3026.84,36.2903,1
103000,78.4284,2399.6,3026.84,38.2263,1
104000,78.4131,1814.48,3026.84,38.7879,1
105000,78.3978,1938.43,3026.84,43.2515,1
106000,78.3826,2487.56,3026.84,38.206,1
107000,78.3673,2491.5,3026.84,38.6207,1
108000,78.3521,2171.22,3026.84,41.9355,1
109000,78.3368,2376.75,3026.84,36.1032,1
110000,78.3215,2418.69,3026.84,40.5145,1
111000,78.3063,2039.58,3026.84,40.4255,1
112000,78.291,1703.95,3026.84,38.5321,1
113000,78.2758,1775.86,3026.84,40.9266,1
114000,78.2605,2059.54,3026.84,39.9361,1
115000,78.2453,2439.8,3026.84,37.6045,1
116000,78.23,2889.8,3026.84,35.5049,1
117000,78.2147,2780.06,3026.84,37.0079,1
118000,78.1995,2745.83,3043.39,37.0572,1
119000,78.1842,2513.29,3043.39,34.7826,1
120000,78.169,2453.33,3043.39,36.7609,1
121000,78.1537,2335.46,3043.39,39.2308,1
122000,78.1384,2897.94,3059.33,34.3915,1
123000,78.1232,2799.85,3059.33,39.6783,1
124000,78.1079,2606.26,3059.33,38.4224,1
125000,78.0927,2439.13,3059.33,36.2881,1
126000,78.0774,2113.27,3059.33,40.4908,1
127000,78.0621,2343.93,3059.33,42.6184,1
128000,78.0469,2436.77,3059.33,38.2436,1
129000,78.0316,2777.82,3059.33,36.9501,1
130000,78.0164,2033.79,3059.33,38.8587,1
131000,78.0011,2755.11,3059.33,38.9205,1
132000,77.9859,2594.54,3059.33,36.9318,1
133000,77.9706,2691.11,3059.33,37.8151,1
134000,77.9553,2822.81,3059.33,41.954,1
135000,77.9401,2319.7,3068.34,41.5902,1
136000,77.9248,2526.62,3068.34,40.1146,1
137000,77.9096,2812.08,3068.34,42.069,1
138000,77.8943,2377.09,3068.34,39.1781,1
139000,77.879,2695.46,3068.34,40.9756,1
140000,77.8638,2489.87,3068.34,37.7193,1
141000,77.8485,2172.22,3068.34,42.6136,1
142000,77.8333,2545.64,3068.34,36.5559,1
143000,77.818,2734.04,3068.34,39.4805,1
144000,77.8027,2366.57,3068.34,39.7297,1
145000,77.7875,2320.24,3068.34,38.6189,1
146000,77.7722,2816.77,3068.34,36.4611,1
147000,77.757,2924.8,3068.34,37.0149,1
148000,77.7417,2477.05,3068.34,39.9433,1
149000,77.7265,2738.91,3068.34,40.2778,1
150000,77.7112,2500.8,3068.34,43.0412,1
151000,77.6959,2630.7,3158.2,36.7758,1
152000,77.6807,2512.2,3158.2,42.2961,1
153000,77.6654,2123.37,3158.2,37.4286,1
154000,77.6502,2672.38,3158.2,39.5028,1
155000,77.6349,2526.21,3158.2,38.8451,1
156000,77.6196,2133.9,3158.2,41.3333,1
157000,77.6044,2266.36,3158.2,38.6364,1
158000,77.5891,2019.69,3158.2,38.8889,1
159000,77.5739,2012.26,3158.2,38.3033,1
160000,77.5586,2025.91,3158.2,41.2869,1
161000,77.5434,2398.48,3158.2,37.7644,1
162000,77.5281,2202.3,3158.2,42.3567,1
163000,77.5128,2380.26,3158.2,39.0313,1
164000,77.4976,2256.7,3158.2,43.3702,1
165000,77.4823,2024.98,3158.2,44.1935,1
166000,77.4671,2045.69,3158.2,43.2432,1
167000,77.4518,2264.4,3158.2,37.9501,1
168000,77.4365,2254.62,3158.2,39.3293,1
169000,77.4213,2576.31,3158.2,38.0665,1
170000,77.406,2263.53,3158.2,40.5479,1
171000,77.3908,2339.23,3158.2,40.0545,1
172000,77.3755,1800.17,3158.2,38.3275,1
173000,77.3602,2138.99,3158.2,38.7283,1
174000,77.345,2277.72,3158.2,38.5621,1
175000,77.3297,2674.62,3209.09,32.8804,1
176000,77.3145,2807.82,3209.09,38.7978,1
177000,77.2992,2943.4,3209.09,39.8936,1
178000,77.284,2754.09,3209.09,38.8298,1
179000,77.2687,2734.48,3209.09,38.2609,1
180000,77.2534,2751.32,3209.09,41.133,1
181000,77.2382,2538.71,3209.09,36.3218,1
182000,77.2229,2178.81,3209.09,39.0476,1
183000,77.2077,2353.96,3209.09,39.2857,1
184000,77.1924,2457.16,3209.09,40.413,1
185000,77.1771,2457.08,3209.09,41.6918,1
186000,77.1619,2601.98,3209.09,39.441,1
187000,77.1466,2708.6,3209.09,36.2667,1
188000,77.1314,2645.88,3209.09,40.4959,1
