it,temp,actualQ,bestQ,pAvg,diversification
1000,79.8018,2665.6,2981.5,43.6533,1
2000,79.6035,2858.56,3072.16,42.2222,1
3000,79.4051,2979.03,3257.57,43.0769,1
4000,79.2067,3133.08,3257.57,42.671,1
5000,79.0084,3118.79,3448.41,40.3614,1
6000,78.81,2788.11,3448.41,40.5195,1
7000,78.6116,2987.13,3448.41,41.0714,1
8000,78.4133,2851.21,3521.1,39.3701,1
9000,78.2149,3265.29,3521.1,35.2071,1
10000,78.0166,2994.32,3521.1,34.8285,1
11000,77.8182,3232.5,3722.47,33.4218,1
12000,77.6235,3257.07,3722.47,38.7879,1
13000,77.4327,3010.69,3722.47,36.7188,1
14000,77.242,2731.84,3722.47,44.1379,1
15000,77.0513,2859.56,3722.47,37.6437,1
16000,76.8605,2837.5,3722.47,43.5135,1
17000,76.6698,3030.04,3722.47,39.1045,1
18000,76.479,2909.75,3722.47,39.233,1
19000,76.2883,3336.35,3753.74,39.9417,1
20000,76.0976,3245.98,3753.74,42.3423,1
21000,75.9068,3117.9,3753.74,40.0631,1
22000,75.7161,3151.78,3753.74,42.4157,1
23000,75.5254,3049.22,3753.74,38.7417,1
24000,75.3346,3353.08,3753.74,40.3361,1
25000,75.1439,3518.73,3753.74,42.8161,1
26000,74.9532,3288.96,3753.74,40.1163,1
27000,74.7624,3140.18,3753.74,38.2716,1
28000,74.5755,3155.15,3753.74,42.5743,1
29000,74.3924,2905.38,3753.74,41.6413,1
30000,74.2093,2852.81,3753.74,40.051,1
31000,74.0262,2839.82,3753.74,41.194,1
32000,73.8431,3041.05,3753.74,38.1098,1
33000,73.66,2944.76,3753.74,38.125,1
34000,73.4769,3016.4,3753.74,42.9825,1
35000,73.2938,2939.98,3753.74,40.4255,1
36000,73.1106,2789.34,3753.74,42.1405,1
37000,72.9275,2915.37,3753.74,40.9524,1
38000,72.7444,2665.46,3753.74,41.896,1
39000,72.5613,2905.12,3753.74,43.9394,1
40000,72.3782,3096.31,3753.74,38.0328,1
41000,72.1951,2904.65,3753.74,41.691,1
42000,72.012,2745.17,3753.74,41.5902,1
43000,71.8289,3019.46,3753.74,35.9873,1
44000,71.6458,3050.87,3753.74,36.7647,1
45000,71.4692,3252.37,3753.74,36.7232,1
46000,71.2937,3508.38,3753.74,36.9369,1
47000,71.1183,3408.89,3753.74,37.6623,1
48000,70.9428,3187.01,3774.22,35.694,1
49000,70.7673,3042.43,3774.22,40.2899,1
50000,70.5918,3053.37,3774.22,40.4494,1
51000,70.4164,3171.13,3774.22,40.303,1
52000,70.2409,3151.92,3774.22,40.1813,1
53000,70.0654,3360.76,3774.22,39.8714,1
54000,69.8899,3367.91,3774.22,41.716,1
55000,69.7144,3087.64,3774.22,40.8408,1
56000,69.539,3369.23,3774.22,40.625,1
57000,69.3635,3071.7,3774.22,39.4495,1
58000,69.188,3002.39,3774.22,42.7119,1
59000,69.0125,2988.31,3774.22,42.9022,1
60000,68.8371,2899.59,3774.22,41.0256,1
61000,68.6616,2759.43,3774.22,39.1176,1
62000,68.4898,3271.77,3774.22,41.853,1
63000,68.322,3444.38,3774.22,35.493,1
64000,68.1541,3230.48,3774.22,42.3729,1
65000,67.9863,3363.75,3774.22,38.5057,1
66000,67.8184,3273.3,3774.22,39.645,1
67000,67.6506,2966.06,3774.22,42.5606,1
68000,67.4827,3460.16,3774.22,40.176,1
69000,67.3149,3430.26,3774.22,37.3626,1
70000,67.147,3252.7,3774.22,33.5079,1
71000,66.9792,3364.97,3774.22,30.914,1
72000,66.8114,3078.67,3774.22,39.0449,1
73000,66.6435,2969.9,3774.22,39.528,1
74000,66.4757,3362.35,3774.22,40.3614,1
75000,66.3078,3262.68,3774.22,38.9535,1
76000,66.14,3173.5,3774.22,34.4444,1
77000,65.9721,3256.97,3774.22,33.0952,1
78000,65.8043,3402.91,3774.22,35.4167,1
79000,65.6364,3456.19,3774.22,34.375,1
80000,65.4711,3354.71,3774.22,32.7711,1
81000,65.3109,3062.11,3774.22,37.7841,1
82000,65.1507,3356.62,3774.22,38.0665,1
83000,64.9904,3129.52,3774.22,40.7895,1
84000,64.8302,2956.97,3774.22,42.3567,1
85000,64.67,3188.03,3774.22,39.0029,1
86000,64.5098,3271.32,3774.22,37.1345,1
87000,64.3496,3158.43,3774.22,42.4242,1
88000,64.1894,3445.17,3774.22,40.8955,1
89000,64.0291,2750.54,3774.22,41.9558,1
90000,63.8689,3001.67,3774.22,41.3333,1
91000,63.7087,3168.98,3774.22,40.9357,1
92000,63.5485,3297.15,3774.22,38.7701,1
93000,63.3883,3181.8,3774.22,39.5706,1
94000,63.2283,3114.34,3774.22,38.764,1
95000,63.0719,3402.76,3774.22,39.3855,1
96000,62.9155,3187.82,3774.22,37.1658,1
97000,62.7591,3172.39,3774.22,33.9853,1
98000,62.6027,2971.33,3774.22,39.7059,1
99000,62.4463,2816.88,3774.22,41.0256,1
100000,62.2899,3000.03,3774.22,36.4641,1
101000,62.1335,3236.12,3774.22,40.4432,1
102000,61.9771,3349.35,3774.22,37.3626,1
103000,61.8207,3247,3774.22,35.1744,1
104000,61.6655,2902.65,3774.22,39.5062,1
105000,61.5129,2924.62,3774.22,37.2372,1
106000,61.3603,3309.39,3774.22,40.0568,1
107000,61.2077,3137.72,3774.22,35.9882,1
108000,61.0551,3052.46,3774.22,35.6083,1
109000,60.9025,3505.64,3774.22,36.7725,1
110000,60.75,3576.97,3774.22,35.1562,1
111000,60.5974,3222.84,3774.22,34.4023,1
112000,60.4448,3424.54,3774.22,30.1176,1
113000,60.2922,3282.55,3774.22,32.0707,1
114000,60.1409,3669.98,3774.22,34.127,1
115000,59.9921,3717.62,3860.26,27.3364,1
116000,59.8433,3212.17,3860.26,41.3907,1
117000,59.6945,3542.7,3860.26,35.5685,1
118000,59.5458,3479.21,3860.26,38.1657,1
119000,59.397,3131.45,3860.26,40.7609,1
120000,59.2482,3531.67,3860.26,36.4672,1
121000,59.0995,3300.89,3860.26,35.9517,1
122000,58.9507,3015.43,3860.26,39.4958,1
123000,58.8019,3197.93,3860.26,37.9939,1
124000,58.6535,3221.54,3860.26,37.1901,1
125000,58.5085,3027.74,3860.26,41.8182,1
126000,58.3636,3332.66,3860.26,39.1534,1
127000,58.2186,3617.36,3860.26,29.9419,1
128000,58.0736,3197.43,3860.26,26.383,1
129000,57.9287,2961.63,3860.26,38.8704,1
130000,57.7837,3612.6,3860.26,32.5581,1
131000,57.6388,3685.24,3913.99,30.8511,1
132000,57.4938,3365.23,3926.8,33.6683,1
133000,57.3489,3083.65,3926.8,34.5506,1
134000,57.2039,3137.51,3926.8,26.7281,1
135000,57.0611,3383.6,3926.8,28.6765,1
136000,56.92,3748.9,3926.8,32.4251,1
137000,56.7789,3327.33,3926.8,34.2776,1
138000,56.6377,3560.64,3926.8,27.2021,1
139000,56.4966,3388.68,3926.8,36.9718,1
140000,56.3554,3555.81,3926.8,27.8772,1
141000,56.2143,3264.68,3926.8,29.0249,1
142000,56.0731,3082.28,3926.8,34.6821,1
