it,temp,actualQ,bestQ,pAvg,diversification
1000,64.5122,2926.34,3269.02,41.8129,1
2000,64.0315,2762.42,3269.02,39.403,1
3000,63.5524,3052.51,3269.02,37.9562,1
4000,63.0768,3016.6,3269.02,40.2332,1
5000,62.6048,3141.78,3416.1,33.7838,1
6000,62.1363,3477.46,3662.32,29.011,1
7000,61.6713,3314.82,3662.32,35.1744,1
8000,61.2097,3292.75,3662.32,34.4173,1
9000,60.7519,3266.91,3662.32,29.932,1
10000,60.2975,3157.34,3662.32,33.7143,1
11000,59.8465,3154.52,3802.78,28.4232,1
12000,59.3988,3303.79,3802.78,35.1097,1
13000,58.9544,3157.16,3802.78,34.8974,1
14000,58.5132,3143.34,3802.78,36.3905,1
15000,58.0752,3175.08,3802.78,35.0482,1
16000,57.6404,3415.37,3802.78,30.597,1
17000,57.2094,3183.86,3802.78,35.786,1
18000,56.7815,3482.91,3805.02,29.9465,1
19000,56.3568,3488.28,3805.02,31.9149,1
20000,55.9351,3318.1,3805.02,33.8762,1
21000,55.5164,3006.72,3805.02,32.8125,1
22000,55.1007,3233.95,3805.02,31.8966,1
23000,54.6887,3369.87,3805.02,31.8421,1
24000,54.2798,3444.24,3805.02,32.1212,1
25000,53.8737,3314.59,3805.02,28.8714,1
26000,53.4704,3408.97,4021.73,29.4537,1
27000,53.07,3619.14,4021.73,27.4468,1
28000,52.6733,3342.83,4021.73,32.0988,1
29000,52.2794,3159.95,4021.73,28.1938,1
30000,51.8882,3730.93,4021.73,27.8037,1
31000,51.4996,3254.45,4021.73,30.6667,1
32000,51.1143,3121.18,4021.73,34.0206,1
33000,50.7322,3253.76,4021.73,31.4554,1
34000,50.3526,3391.46,4021.73,27.7778,1
35000,49.9755,3529.58,4021.73,25.9259,1
36000,49.6017,3441.73,4021.73,29.8876,1
37000,49.2309,3501.47,4021.73,25.5624,1
38000,48.8624,3477.77,4021.73,32.3034,1
39000,48.4963,3422.31,4021.73,29.1759,1
40000,48.134,3738.57,4021.73,31.0078,1
41000,47.774,3387.22,4021.73,33.119,1
42000,47.4162,3166.91,4021.73,33.9426,1
43000,47.0614,3384.2,4021.73,27.3756,1
44000,46.7096,3594.5,4021.73,31.565,1
45000,46.36,3468.82,4021.73,26.6033,1
46000,46.0128,3572.3,4021.73,22.6013,1
47000,45.669,3483.33,4021.73,25.866,1
48000,45.3272,3661.9,4021.73,31.2321,1
49000,44.9877,3521.43,4021.73,30.1663,1
50000,44.6516,3709.45,4021.73,30.1546,1
51000,44.3173,3627.62,4021.73,26.972,1
52000,43.9855,3205.2,4021.73,24.0781,1
53000,43.6568,3627.5,4021.73,22.1983,1
54000,43.3299,3591.4,4021.73,22.49,1
55000,43.0057,3449.16,4021.73,28.7383,1
56000,42.6842,3576.56,4021.73,28.7634,1
57000,42.3644,3446.43,4021.73,25.7384,1
58000,42.0478,3297.74,4021.73,23.9754,1
59000,41.7332,3601.58,4021.73,19.9161,1
60000,41.4204,3803.28,4027.26,25.1799,1
61000,41.1112,3724.5,4027.26,16.6667,1
62000,40.8032,3353.53,4027.26,20.8437,1
63000,40.4981,3653.57,4027.26,22.8235,1
64000,40.1952,3780.88,4027.26,22.9645,1
65000,39.8939,3718.51,4027.26,29.9233,1
66000,39.5961,3698.89,4047.67,22.973,1
67000,39.2994,3305.15,4047.67,26.6,1
68000,39.0056,3942.42,4047.67,7.76699,0
69000,38.7138,4060.69,4083.69,6.21866,0
70000,38.4239,4122.72,4122.72,5.2,0
71000,38.1368,4144.88,4147.88,4.9,0
72000,37.8507,4194.87,4210.87,7.6,0
73000,37.5683,4210.12,4227.12,4.2,0
74000,37.2866,4257.12,4262.12,6.5,0
75000,37.0081,4241.15,4263.12,4.7,0
76000,36.731,4238.88,4263.12,4,0
77000,36.4563,4241.13,4263.12,5.1,0
78000,36.1835,4248.08,4263.12,4.9,0
79000,35.9127,4217.15,4263.12,5.9,0
80000,35.6442,4214.88,4263.12,4.6,0
81000,35.3772,4221.93,4263.12,4.2,0
82000,35.1129,4227.15,4263.12,5.5,0
83000,34.8497,3832.89,4263.12,14.3939,1
84000,34.5895,3717.09,4263.12,17.8378,1
85000,34.3301,3934.27,4263.12,20.9804,1
86000,34.0738,3757.37,4263.12,19.0945,1
87000,33.8182,3589.3,4263.12,17.495,1
88000,33.5659,3679.84,4263.12,17.7165,1
89000,33.3141,3569.37,4263.12,16.5275,1
90000,33.0655,3646.51,4263.12,19.6721,1
91000,32.8175,3615.2,4263.12,15.18,1
92000,32.5725,3791.54,4263.12,17.5889,1
93000,32.3284,3525.4,4263.12,18.4448,1
94000,32.0869,3653.52,4263.12,17.8344,1
95000,31.8468,3711.77,4263.12,12.7796,1
96000,31.6084,3604.83,4263.12,15.8451,1
97000,31.3719,3602.25,4263.12,24.7312,1
98000,31.1373,3532.56,4263.12,30.03,1
99000,30.9044,3685.48,4263.12,27.6667,1
100000,30.6732,3755.74,4263.12,20.1474,1
101000,30.4437,3992.51,4263.12,16.6038,1
102000,30.216,3910.54,4263.12,10.9353,1
103000,29.9899,3771.99,4263.12,11.6477,1
104000,29.7655,3878.54,4263.12,13.1298,1
105000,29.5427,4109.26,4263.12,12.2611,1
106000,29.3215,3927.48,4263.12,10.6443,1
107000,29.1022,4117.6,4263.12,16,1
108000,28.8845,3808.19,4263.12,17.3077,1
109000,28.6685,4014.98,4263.12,12.63,1
110000,28.454,3804.2,4263.12,16.0959,1
111000,28.2411,3858.84,4263.12,19.5378,1
112000,28.0297,3629.4,4263.12,14.3636,1
113000,27.8199,3690.06,4263.12,17.3913,1
114000,27.6119,4132.39,4263.12,17.3034,1
115000,27.4054,4033.8,4263.12,11.4428,1
116000,27.2003,3921.05,4263.12,15.3386,1
117000,26.9967,3992.1,4263.12,16.6329,1
118000,26.7945,3793.09,4263.12,14.7217,1
119000,26.5942,3863.22,4263.12,15.0635,1
120000,26.3954,3746.09,4263.12,17.6786,1
121000,26.1978,3757.89,4263.12,17.1674,1
122000,26.0017,3908.75,4263.12,16,1
123000,25.8071,3879.47,4263.12,14.6457,1
124000,25.6142,3682.26,4263.12,14.4852,1
125000,25.4226,4051.1,4263.12,13.5472,1
126000,25.2322,3990.53,4263.12,12.4549,1
127000,25.0434,3964.45,4263.12,11.9093,1
128000,24.8562,3896.01,4263.12,17.4545,1
129000,24.6702,3792.16,4263.12,15.4286,1
130000,24.4854,3882.32,4263.12,11.9309,1
131000,24.3023,4155.85,4263.12,8.09465,1
132000,24.1206,3941.33,4263.12,10.6725,1
133000,23.9401,4014.05,4263.12,11.1702,1
134000,23.7608,3980.38,4263.12,10.0134,1
135000,23.5832,3847.17,4263.12,10.1928,1
136000,23.4068,4167.47,4263.12,9.37913,1
137000,23.2314,3788.06,4263.12,16.0069,1
138000,23.0578,4091.87,4294.62,9.67742,1
139000,22.8853,4242.4,4294.62,9.9865,1
140000,22.7138,4118.63,4294.62,10.9649,1
141000,22.5441,4015.78,4294.62,9.73202,1
142000,22.3755,4140.08,4294.62,11.3115,1
143000,22.2078,3931.35,4294.62,11.6013,1
144000,22.0419,4001.72,4294.62,13.5849,1
145000,21.877,3983.99,4294.62,12.9082,1
146000,21.713,3989.13,4294.62,12.5418,1
147000,21.5508,4211.36,4294.62,10.9907,1
148000,21.3896,4235.84,4294.62,7.03704,1
149000,21.2293,3889.45,4294.62,11.5385,1
150000,21.0708,3942.58,4294.62,14.3434,1
151000,20.9129,3867.13,4294.62,13.3942,1
152000,20.7565,4116.57,4294.62,10.6475,1
153000,20.6013,4101.01,4298.91,9.93789,1
154000,20.4468,4161.09,4298.91,8.14917,1
155000,20.2942,4022.23,4298.91,9.6875,1
156000,20.1422,4118.65,4298.91,8.65103,1
157000,19.9915,4068.02,4298.91,9.42813,1
158000,19.8421,4209.32,4298.91,10.2804,1
159000,19.6933,4166.31,4298.91,10.2484,1
160000,19.5463,4243.7,4298.91,11.9195,1
161000,19.3998,4377.73,4377.73,9.02873,1
162000,19.2548,4246.32,4401.01,7.00132,1
163000,19.1107,4181.96,4401.01,8.80829,1
164000,18.9677,4323.04,4401.01,7.74194,1
165000,18.8259,4331.99,4424.01,6.05634,1
166000,18.6848,4408.37,4424.81,6.80628,1
167000,18.5453,4174.5,4434.7,8.06011,1
168000,18.4061,4173.21,4434.7,8.74384,1
